date,hs,swe_obs
2017-06-16,0.0,
2017-06-17,0.0,
2017-06-18,0.0,
2017-06-19,0.0,
2017-06-20,0.0,
2017-06-21,0.0,
2017-06-22,0.0,
2017-06-23,0.0,
2017-06-24,0.0,
2017-06-25,0.0,
2017-06-26,0.0,
2017-06-27,0.0,
2017-06-28,0.0,
2017-06-29,0.0,
2017-06-30,0.0,
2017-07-01,0.0,
2017-07-02,0.0,
2017-07-03,0.0,
2017-07-04,0.0,
2017-07-05,0.0,
2017-07-06,0.0,
2017-07-07,0.0,
2017-07-08,0.0,
2017-07-09,0.0,
2017-07-10,0.0,
2017-07-11,0.0,
2017-07-12,0.0,
2017-07-13,0.0,
2017-07-14,0.0,
2017-07-15,0.0,
2017-07-16,0.0,
2017-07-17,0.0,
2017-07-18,0.0,
2017-07-19,0.0,
2017-07-20,0.0,
2017-07-21,0.0,
2017-07-22,0.0,
2017-07-23,0.0,
2017-07-24,0.0,
2017-07-25,0.0,
2017-07-26,0.0,
2017-07-27,0.0,
2017-07-28,0.0,
2017-07-29,0.0,
2017-07-30,0.0,
2017-07-31,0.0,
2017-08-01,0.0,
2017-08-02,0.0,
2017-08-03,0.0,
2017-08-04,0.0,
2017-08-05,0.0,
2017-08-06,0.0,
2017-08-07,0.0,
2017-08-08,0.0,
2017-08-09,0.0,
2017-08-10,0.0,
2017-08-11,0.0,
2017-08-12,0.0,
2017-08-13,0.0,
2017-08-14,0.0,
2017-08-15,0.0,
2017-08-16,0.0,
2017-08-17,0.0,
2017-08-18,0.0,
2017-08-19,0.0,
2017-08-20,0.0,
2017-08-21,0.0,
2017-08-22,0.0,
2017-08-23,0.0,
2017-08-24,0.0,
2017-08-25,0.0,
2017-08-26,0.0,
2017-08-27,0.0,
2017-08-28,0.0,
2017-08-29,0.0,
2017-08-30,0.0,
2017-08-31,0.0,
2017-09-01,0.0,
2017-09-02,0.0,
2017-09-03,0.0,
2017-09-04,0.0,
2017-09-05,0.0,
2017-09-06,0.0,
2017-09-07,0.0,
2017-09-08,0.0,
2017-09-09,0.0,
2017-09-10,4.0,
2017-09-11,0.0,
2017-09-12,0.0,
2017-09-13,0.0,
2017-09-14,0.0,
2017-09-15,0.0,
2017-09-16,0.0,
2017-09-17,0.0,
2017-09-18,0.0,
2017-09-19,0.0,
2017-09-20,0.0,
2017-09-21,0.0,
2017-09-22,0.0,
2017-09-23,0.0,
2017-09-24,0.0,
2017-09-25,0.0,
2017-09-26,0.0,
2017-09-27,0.0,
2017-09-28,0.0,
2017-09-29,0.0,
2017-09-30,0.0,
2017-10-01,0.0,
2017-10-02,0.0,
2017-10-03,0.0,
2017-10-04,0.0,
2017-10-05,0.0,
2017-10-06,0.0,
2017-10-07,0.0,
2017-10-08,0.0,
2017-10-09,0.0,
2017-10-10,0.0,
2017-10-11,0.0,
2017-10-12,0.0,
2017-10-13,0.0,
2017-10-14,0.0,
2017-10-15,0.0,
2017-10-16,0.0,
2017-10-17,0.0,
2017-10-18,0.0,
2017-10-19,0.0,
2017-10-20,0.0,
2017-10-21,0.0,
2017-10-22,0.0,
2017-10-23,0.0,
2017-10-24,0.0,
2017-10-25,0.0,
2017-10-26,0.0,
2017-10-27,0.0,
2017-10-28,0.0,
2017-10-29,0.0,
2017-10-30,0.0,
2017-10-31,0.0,
2017-11-01,0.0,
2017-11-02,0.0,
2017-11-03,0.0,
2017-11-04,0.0,
2017-11-05,0.0,
2017-11-06,7.000000000000001,
2017-11-07,5.0,
2017-11-08,2.0,
2017-11-09,1.0,
2017-11-10,0.0,
2017-11-11,0.0,
2017-11-12,0.0,
2017-11-13,5.0,
2017-11-14,4.0,
2017-11-15,2.0,
2017-11-16,2.0,
2017-11-17,1.0,
2017-11-18,0.0,
2017-11-19,3.0,
2017-11-20,10.0,
2017-11-21,8.0,
2017-11-22,5.0,
2017-11-23,5.0,
2017-11-24,3.0,
2017-11-25,0.0,
2017-11-26,0.0,
2017-11-27,1.0,
2017-11-28,1.0,
2017-11-29,0.0,
2017-11-30,12.0,
2017-12-01,10.0,
2017-12-02,10.0,
2017-12-03,9.0,
2017-12-04,8.0,
2017-12-05,9.0,
2017-12-06,8.0,
2017-12-07,7.000000000000001,
2017-12-08,7.000000000000001,
2017-12-09,16.0,
2017-12-10,13.0,
2017-12-11,7.000000000000001,
2017-12-12,18.0,
2017-12-13,26.0,
2017-12-14,21.0,
2017-12-15,25.0,
2017-12-16,25.0,
2017-12-17,26.0,
2017-12-18,25.0,
2017-12-19,24.0,
2017-12-20,22.0,
2017-12-21,20.0,
2017-12-22,21.0,
2017-12-23,20.0,
2017-12-24,20.0,
2017-12-25,19.0,
2017-12-26,18.0,
2017-12-27,19.0,
2017-12-28,45.0,
2017-12-29,39.0,
2017-12-30,41.0,
2017-12-31,42.0,
2018-01-01,37.0,
2018-01-02,37.0,
2018-01-03,50.0,
2018-01-04,71.0,
2018-01-05,60.0,
2018-01-06,40.0,
2018-01-07,30.0,
2018-01-08,22.0,
2018-01-09,15.0,
2018-01-10,14.000000000000002,
2018-01-11,15.0,
2018-01-12,16.0,
2018-01-13,15.0,
2018-01-14,15.0,
2018-01-15,15.0,
2018-01-16,15.0,
2018-01-17,22.0,
2018-01-18,28.999999999999996,
2018-01-19,26.0,
2018-01-20,27.0,
2018-01-21,60.0,
2018-01-22,85.0,
2018-01-23,65.0,
2018-01-24,56.00000000000001,
2018-01-25,56.00000000000001,
2018-01-26,47.0,
2018-01-27,38.0,
2018-01-28,38.0,
2018-01-29,37.0,
2018-01-30,35.0,
2018-01-31,35.0,
2018-02-01,35.0,
2018-02-02,48.0,
2018-02-03,45.0,
2018-02-04,43.0,
2018-02-05,42.0,
2018-02-06,40.0,
2018-02-07,40.0,
2018-02-08,40.0,
2018-02-09,40.0,
2018-02-10,40.0,
2018-02-11,40.0,
2018-02-12,44.0,
2018-02-13,43.0,
2018-02-14,43.0,
2018-02-15,42.0,
2018-02-16,54.0,
2018-02-17,42.0,
2018-02-18,37.0,
2018-02-19,37.0,
2018-02-20,37.0,
2018-02-21,38.0,
2018-02-22,38.0,
2018-02-23,38.0,
2018-02-24,38.0,
2018-02-25,38.0,
2018-02-26,40.0,
2018-02-27,40.0,
2018-02-28,40.0,
2018-03-01,40.0,
2018-03-02,38.0,
2018-03-03,35.0,
2018-03-04,33.0,
2018-03-05,33.0,
2018-03-06,33.0,
2018-03-07,35.0,
2018-03-08,52.0,
2018-03-09,45.0,
2018-03-10,38.0,
2018-03-11,27.0,
2018-03-12,25.0,
2018-03-13,20.0,
2018-03-14,20.0,
2018-03-15,17.0,
2018-03-16,16.0,
2018-03-17,15.0,
2018-03-18,23.0,
2018-03-19,27.0,
2018-03-20,22.0,
2018-03-21,20.0,
2018-03-22,20.0,
2018-03-23,20.0,
2018-03-24,20.0,
2018-03-25,20.0,
2018-03-26,19.0,
2018-03-27,18.0,
2018-03-28,18.0,
2018-03-29,15.0,
2018-03-30,15.0,
2018-03-31,16.0,
2018-04-01,17.299999999999997,
2018-04-02,10.0,
2018-04-03,9.0,
2018-04-04,0.0,
2018-04-05,0.0,
2018-04-06,0.0,
2018-04-07,0.0,
2018-04-08,0.0,
2018-04-09,0.0,
2018-04-10,0.0,
2018-04-11,0.0,
2018-04-12,0.0,
2018-04-13,0.0,
2018-04-14,0.0,
2018-04-15,0.0,
2018-04-16,0.0,
2018-04-17,0.0,
2018-04-18,0.0,
2018-04-19,0.0,
2018-04-20,0.0,
2018-04-21,0.0,
2018-04-22,0.0,
2018-04-23,0.0,
2018-04-24,0.0,
2018-04-25,0.0,
2018-04-26,0.0,
2018-04-27,0.0,
2018-04-28,0.0,
2018-04-29,0.0,
2018-04-30,0.0,
2018-05-01,0.0,
2018-05-02,0.0,
2018-05-03,0.0,
2018-05-04,0.0,
2018-05-05,0.0,
2018-05-06,0.0,
2018-05-07,0.0,
2018-05-08,0.0,
2018-05-09,0.0,
2018-05-10,0.0,
2018-05-11,0.0,
2018-05-12,0.0,
2018-05-13,0.0,
2018-05-14,0.0,
2018-05-15,0.0,
2018-05-16,0.0,
2018-05-17,0.0,
2018-05-18,0.0,
2018-05-19,0.0,
2018-05-20,0.0,
2018-05-21,0.0,
2018-05-22,0.0,
2018-05-23,0.0,
2018-05-24,0.0,
2018-05-25,0.0,
2018-05-26,0.0,
2018-05-27,0.0,
2018-05-28,0.0,
2018-05-29,0.0,
2018-05-30,0.0,
2018-05-31,0.0,
2018-06-01,0.0,
2018-06-02,0.0,
2018-06-03,0.0,
2018-06-04,0.0,
2018-06-05,0.0,
2018-06-06,0.0,
2018-06-07,0.0,
2018-06-08,0.0,
2018-06-09,0.0,
2018-06-10,0.0,
2018-06-11,0.0,
2018-06-12,0.0,
2018-06-13,0.0,
2018-06-14,0.0,
2018-06-15,0.0,
2018-06-16,0.0,
2018-06-17,0.0,
2018-06-18,0.0,
2018-06-19,0.0,
2018-06-20,0.0,
2018-06-21,0.0,
2018-06-22,0.0,
2018-06-23,0.0,
2018-06-24,0.0,
2018-06-25,0.0,
2018-06-26,0.0,
2018-06-27,0.0,
2018-06-28,0.0,
2018-06-29,0.0,
2018-06-30,0.0,
2018-07-01,0.0,
2018-07-02,0.0,
2018-07-03,0.0,
2018-07-04,0.0,
2018-07-05,0.0,
2018-07-06,0.0,
2018-07-07,0.0,
2018-07-08,0.0,
2018-07-09,0.0,
2018-07-10,0.0,
2018-07-11,0.0,
2018-07-12,0.0,
2018-07-13,0.0,
2018-07-14,0.0,
2018-07-15,0.0,
2018-07-16,0.0,
2018-07-17,0.0,
2018-07-18,0.0,
2018-07-19,0.0,
2018-07-20,0.0,
2018-07-21,0.0,
2018-07-22,0.0,
2018-07-23,0.0,
2018-07-24,0.0,
2018-07-25,0.0,
2018-07-26,0.0,
2018-07-27,0.0,
2018-07-28,0.0,
2018-07-29,0.0,
2018-07-30,0.0,
2018-07-31,0.0,
2018-08-01,0.0,
2018-08-02,0.0,
2018-08-03,0.0,
2018-08-04,0.0,
2018-08-05,0.0,
2018-08-06,0.0,
2018-08-07,0.0,
2018-08-08,0.0,
2018-08-09,0.0,
2018-08-10,0.0,
2018-08-11,0.0,
2018-08-12,0.0,
2018-08-13,0.0,
2018-08-14,0.0,
2018-08-15,0.0,
2018-08-16,0.0,
2018-08-17,0.0,
2018-08-18,0.0,
2018-08-19,0.0,
2018-08-20,0.0,
2018-08-21,0.0,
2018-08-22,0.0,
2018-08-23,0.0,
2018-08-24,0.0,
2018-08-25,0.0,
2018-08-26,0.0,
2018-08-27,0.0,
2018-08-28,0.0,
2018-08-29,0.0,
2018-08-30,0.0,
2018-08-31,0.0,
2018-09-01,0.0,
2018-09-02,0.0,
2018-09-03,0.0,
2018-09-04,0.0,
2018-09-05,0.0,
2018-09-06,0.0,
2018-09-07,0.0,
2018-09-08,0.0,
2018-09-09,0.0,
2018-09-10,0.0,
2018-09-11,0.0,
2018-09-12,0.0,
2018-09-13,0.0,
2018-09-14,0.0,
2018-09-15,0.0,
2018-09-16,0.0,
2018-09-17,0.0,
2018-09-18,0.0,
2018-09-19,0.0,
2018-09-20,0.0,
2018-09-21,0.0,
2018-09-22,0.0,
2018-09-23,0.0,
2018-09-24,0.0,
2018-09-25,0.0,
2018-09-26,0.0,
2018-09-27,0.0,
2018-09-28,0.0,
2018-09-29,0.0,
2018-09-30,0.0,
2018-10-01,0.0,
2018-10-02,0.0,
2018-10-03,0.0,
2018-10-04,0.0,
2018-10-05,0.0,
2018-10-06,0.0,
2018-10-07,0.0,
2018-10-08,0.0,
2018-10-09,0.0,
2018-10-10,0.0,
2018-10-11,0.0,
2018-10-12,0.0,
2018-10-13,0.0,
2018-10-14,0.0,
2018-10-15,0.0,
2018-10-16,0.0,
2018-10-17,0.0,
2018-10-18,0.0,
2018-10-19,0.0,
2018-10-20,0.0,
2018-10-21,0.0,
2018-10-22,0.0,
2018-10-23,0.0,
2018-10-24,0.0,
2018-10-25,0.0,
2018-10-26,0.0,
2018-10-27,0.0,
2018-10-28,68.0,
2018-10-29,38.0,
2018-10-30,19.0,
2018-10-31,10.0,
2018-11-01,8.0,
2018-11-02,0.0,
2018-11-03,0.0,
2018-11-04,0.0,
2018-11-05,0.0,
2018-11-06,0.0,
2018-11-07,0.0,
2018-11-08,0.0,
2018-11-09,0.0,
2018-11-10,0.0,
2018-11-11,0.0,
2018-11-12,0.0,
2018-11-13,0.0,
2018-11-14,0.0,
2018-11-15,0.0,
2018-11-16,0.0,
2018-11-17,0.0,
2018-11-18,0.0,
2018-11-19,3.0,
2018-11-20,5.0,
2018-11-21,2.0,
2018-11-22,0.0,
2018-11-23,0.0,
2018-11-24,0.0,
2018-11-25,0.0,
2018-11-26,0.0,
2018-11-27,2.0,
2018-11-28,0.0,
2018-11-29,0.0,
2018-11-30,0.0,
2018-12-01,0.0,
2018-12-02,0.0,
2018-12-03,0.0,
2018-12-04,0.0,
2018-12-05,0.0,
2018-12-06,0.0,
2018-12-07,0.0,
2018-12-08,0.0,
2018-12-09,1.0,
2018-12-10,38.0,
2018-12-11,42.0,
2018-12-12,38.0,
2018-12-13,35.0,
2018-12-14,31.0,
2018-12-15,28.999999999999996,
2018-12-16,35.0,
2018-12-17,27.0,
2018-12-18,26.0,
2018-12-19,26.0,
2018-12-20,27.0,
2018-12-21,25.0,
2018-12-22,26.0,
2018-12-23,21.0,
2018-12-24,17.0,
2018-12-25,26.0,
2018-12-26,25.0,
2018-12-27,24.0,
2018-12-28,20.0,
2018-12-29,19.0,
2018-12-30,19.0,
2018-12-31,21.0,
2019-01-01,19.0,
2019-01-02,16.0,
2019-01-03,20.0,
2019-01-04,21.0,
2019-01-05,20.0,
2019-01-06,30.0,
2019-01-07,28.999999999999996,
2019-01-08,25.0,
2019-01-09,45.0,
2019-01-10,49.0,
2019-01-11,44.0,
2019-01-12,46.0,
2019-01-13,56.00000000000001,
2019-01-14,86.0,
2019-01-15,93.0,
2019-01-16,82.0,
2019-01-17,75.0,
2019-01-18,70.0,
2019-01-19,65.0,
2019-01-20,65.0,
2019-01-21,64.0,
2019-01-22,63.0,
2019-01-23,62.0,
2019-01-24,62.0,
2019-01-25,60.0,
2019-01-26,60.0,
2019-01-27,59.0,
2019-01-28,60.0,
2019-01-29,60.0,
2019-01-30,57.99999999999999,
2019-01-31,55.00000000000001,
2019-02-01,56.00000000000001,
2019-02-02,66.0,
2019-02-03,65.0,
2019-02-04,60.0,
2019-02-05,60.0,
2019-02-06,57.99999999999999,
2019-02-07,56.99999999999999,
2019-02-08,56.00000000000001,
2019-02-09,55.00000000000001,
2019-02-10,53.0,
2019-02-11,55.00000000000001,
2019-02-12,55.00000000000001,
2019-02-13,53.0,
2019-02-14,53.0,
2019-02-15,50.0,
2019-02-16,49.0,
2019-02-17,49.0,
2019-02-18,49.0,
2019-02-19,47.0,
2019-02-20,45.0,
2019-02-21,43.0,
2019-02-22,43.0,
2019-02-23,40.0,
2019-02-24,40.0,
2019-02-25,40.0,
2019-02-26,38.0,
2019-02-27,35.0,
2019-02-28,35.0,
2019-03-01,34.0,
2019-03-02,33.0,
2019-03-03,31.0,
2019-03-04,30.0,
2019-03-05,28.000000000000004,
2019-03-06,28.000000000000004,
2019-03-07,25.0,
2019-03-08,28.999999999999996,
2019-03-09,28.000000000000004,
2019-03-10,25.0,
2019-03-11,23.0,
2019-03-12,28.000000000000004,
2019-03-13,19.0,
2019-03-14,26.0,
2019-03-15,36.0,
2019-03-16,35.0,
2019-03-17,28.000000000000004,
2019-03-18,41.0,
2019-03-19,26.0,
2019-03-20,20.0,
2019-03-21,20.0,
2019-03-22,20.0,
2019-03-23,19.0,
2019-03-24,18.0,
2019-03-25,16.0,
2019-03-26,16.0,
2019-03-27,13.0,
2019-03-28,11.0,
2019-03-29,8.0,
2019-03-30,0.0,
2019-03-31,0.0,
2019-04-01,0.0,
2019-04-02,0.0,
2019-04-03,0.0,
2019-04-04,0.0,
2019-04-05,25.0,
2019-04-06,15.0,
2019-04-07,0.0,
2019-04-08,0.0,
2019-04-09,0.0,
2019-04-10,0.0,
2019-04-11,0.0,
2019-04-12,0.0,
2019-04-13,0.0,
2019-04-14,0.0,
2019-04-15,0.0,
2019-04-16,0.0,
2019-04-17,0.0,
2019-04-18,0.0,
2019-04-19,0.0,
2019-04-20,0.0,
2019-04-21,0.0,
2019-04-22,0.0,
2019-04-23,0.0,
2019-04-24,0.0,
2019-04-25,0.0,
2019-04-26,0.0,
2019-04-27,9.0,
2019-04-28,1.0,
2019-04-29,0.0,
2019-04-30,0.0,
2019-05-01,0.0,
2019-05-02,0.0,
2019-05-03,0.0,
2019-05-04,0.0,
2019-05-05,2.0,
2019-05-06,0.0,
2019-05-07,0.0,
2019-05-08,0.0,
2019-05-09,0.0,
2019-05-10,0.0,
2019-05-11,0.0,
2019-05-12,0.0,
2019-05-13,0.0,
2019-05-14,0.0,
2019-05-15,0.0,
2019-05-16,0.0,
2019-05-17,0.0,
2019-05-18,0.0,
2019-05-19,0.0,
2019-05-20,0.0,
2019-05-21,0.0,
2019-05-22,0.0,
2019-05-23,0.0,
2019-05-24,0.0,
2019-05-25,0.0,
2019-05-26,0.0,
2019-05-27,0.0,
2019-05-28,0.0,
2019-05-29,0.0,
2019-05-30,0.0,
2019-05-31,0.0,
2019-06-01,0.0,
2019-06-02,0.0,
2019-06-03,0.0,
2019-06-04,0.0,
2019-06-05,0.0,
2019-06-06,0.0,
2019-06-07,0.0,
2019-06-08,0.0,
2019-06-09,0.0,
2019-06-10,0.0,
2019-06-11,0.0,
2019-06-12,0.0,
2019-06-13,0.0,
2019-06-14,0.0,
2019-06-15,0.0,
2019-06-16,0.0,
2019-06-17,0.0,
2019-06-18,0.0,
2019-06-19,0.0,
2019-06-20,0.0,
2019-06-21,0.0,
2019-06-22,0.0,
2019-06-23,0.0,
2019-06-24,0.0,
2019-06-25,0.0,
2019-06-26,0.0,
2019-06-27,0.0,
2019-06-28,0.0,
2019-06-29,0.0,
2019-06-30,0.0,
2019-07-01,0.0,
2019-07-02,0.0,
2019-07-03,0.0,
2019-07-04,0.0,
2019-07-05,0.0,
2019-07-06,0.0,
2019-07-07,0.0,
2019-07-08,0.0,
2019-07-09,0.0,
2019-07-10,0.0,
2019-07-11,0.0,
2019-07-12,0.0,
2019-07-13,0.0,
2019-07-14,0.0,
2019-07-15,0.0,
2019-07-16,0.0,
2019-07-17,0.0,
2019-07-18,0.0,
2019-07-19,0.0,
2019-07-20,0.0,
2019-07-21,0.0,
2019-07-22,0.0,
2019-07-23,0.0,
2019-07-24,0.0,
2019-07-25,0.0,
2019-07-26,0.0,
2019-07-27,0.0,
2019-07-28,0.0,
2019-07-29,0.0,
2019-07-30,0.0,
2019-07-31,0.0,
2019-08-01,0.0,
2019-08-02,0.0,
2019-08-03,0.0,
2019-08-04,0.0,
2019-08-05,0.0,
2019-08-06,0.0,
2019-08-07,0.0,
2019-08-08,0.0,
2019-08-09,0.0,
2019-08-10,0.0,
2019-08-11,0.0,
2019-08-12,0.0,
2019-08-13,0.0,
2019-08-14,0.0,
2019-08-15,0.0,
2019-08-16,0.0,
2019-08-17,0.0,
2019-08-18,0.0,
2019-08-19,0.0,
2019-08-20,0.0,
2019-08-21,0.0,
2019-08-22,0.0,
2019-08-23,0.0,
2019-08-24,0.0,
2019-08-25,0.0,
2019-08-26,0.0,
2019-08-27,0.0,
2019-08-28,0.0,
2019-08-29,0.0,
2019-08-30,0.0,
2019-08-31,0.0,
2019-09-01,0.0,
2019-09-02,0.0,
2019-09-03,0.0,
2019-09-04,0.0,
2019-09-05,0.0,
2019-09-06,0.0,
2019-09-07,0.0,
2019-09-08,0.0,
2019-09-09,0.0,
2019-09-10,0.0,
2019-09-11,0.0,
2019-09-12,0.0,
2019-09-13,0.0,
2019-09-14,0.0,
2019-09-15,0.0,
2019-09-16,0.0,
2019-09-17,0.0,
2019-09-18,0.0,
2019-09-19,0.0,
2019-09-20,0.0,
2019-09-21,0.0,
2019-09-22,0.0,
2019-09-23,0.0,
2019-09-24,0.0,
2019-09-25,0.0,
2019-09-26,0.0,
2019-09-27,0.0,
2019-09-28,0.0,
2019-09-29,0.0,
2019-09-30,0.0,
2019-10-01,0.0,
2019-10-02,0.0,
2019-10-03,0.0,
2019-10-04,0.0,
2019-10-05,0.0,
2019-10-06,0.0,
2019-10-07,0.0,
2019-10-08,0.0,
2019-10-09,0.0,
2019-10-10,0.0,
2019-10-11,0.0,
2019-10-12,0.0,
2019-10-13,0.0,
2019-10-14,0.0,
2019-10-15,0.0,
2019-10-16,0.0,
2019-10-17,0.0,
2019-10-18,0.0,
2019-10-19,0.0,
2019-10-20,0.0,
2019-10-21,0.0,
2019-10-22,0.0,
2019-10-23,0.0,
2019-10-24,0.0,
2019-10-25,0.0,
2019-10-26,0.0,
2019-10-27,0.0,
2019-10-28,0.0,
